Activity,Toilet_type,ExperimentID,Sequence_length,Location_transitions,Unique_surfaces,Has_handwashing,Personal_items_touched
Defecation,Women,MMHSI0598X,23,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,11,True,10
Defecation,Women,CNCNL8817S,16,Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Entry,11,True,5
Defecation,Women,JUYVY3080H,30,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Entry -> Entry->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,14,True,15
Defecation,Women,CUZXN6848K,32,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,12,True,14
Defecation,Women,RRDNK2201G,18,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Entry,10,True,6
Defecation,Women,MPKNA1648J,21,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,13,True,7
Defecation,Women,YPOJX1207C,25,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,13,True,9
Defecation,Women,GKCBV6300L,43,Entry->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,15,True,24
Defecation,Women,UHGMF6378S,19,Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,12,True,10
Defecation,Women,AZUQS6212G,22,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,13,True,9
MHM,Gender neutral,RQLPX3649E,29,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,13,True,11
MHM,Gender neutral,KHOTD9668M,28,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,13,True,10
MHM,Gender neutral,GMKOU9857N,38,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,14,True,24
MHM,Gender neutral,XTJFP8510X,36,Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,12,True,16
MHM,Gender neutral,QPKQP9473Z,40,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,14,True,22
MHM,Gender neutral,HJZHQ0810H,32,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,11,True,10
MHM,Gender neutral,BHDEJ9157M,27,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Entry,14,True,11
MHM,Gender neutral,LLVHY6671F,29,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,12,True,12
MHM,Gender neutral,OZEOC2061L,26,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,13,True,13
MHM,Gender neutral,CMXRD5829M,26,Entry->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,12,True,9
MHM,Women,RTIHL2258R,17,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Entry,10,True,6
